Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
minibus hire newcastle upon tyne,GBP,500,-90%,-90%,Medium,54,0.53,1.65,,,,,,,,,,,,,,,,,
coach hire newcastle,GBP,500,-90%,0%,Medium,50,1.05,5.72,,,,,,,,,,,,,,,,,
party bus newcastle,GBP,500,0%,0%,Medium,38,0.26,0.66,,,,,,,,,,,,,,,,,
coach hire newcastle upon tyne,GBP,500,-90%,0%,Medium,50,1.05,5.72,,,,,,,,,,,,,,,,,
coach hire to newcastle,GBP,500,-90%,0%,Medium,50,1.05,5.72,,,,,,,,,,,,,,,,,
self drive minibus hire newcastle upon tyne,GBP,500,0%,0%,High,82,0.38,0.85,,,,,,,,,,,,,,,,,
minibus hire sunderland,GBP,500,0%,0%,Medium,54,0.69,1.92,,,,,,,,,,,,,,,,,
minibus hire durham,GBP,500,0%,0%,Low,26,0.54,1.32,,,,,,,,,,,,,,,,,
minibus hire middlesbrough,GBP,500,0%,0%,Medium,44,0.65,1.53,,,,,,,,,,,,,,,,,
mini bus hire middlesbrough,GBP,500,0%,0%,High,90,0.73,1.57,,,,,,,,,,,,,,,,,
mini bus hire sunderland,GBP,500,0%,0%,High,83,0.66,1.69,,,,,,,,,,,,,,,,,
minibus durham,GBP,500,0%,0%,Low,21,0.79,1.63,,,,,,,,,,,,,,,,,
16 seater minibus hire newcastle,GBP,50,0%,0%,High,76,0.68,2.39,,,,,,,,,,,,,,,,,
party bus hire newcastle,GBP,50,0%,0%,Medium,50,0.28,0.79,,,,,,,,,,,,,,,,,
newcastle coach hire,GBP,50,0%,0%,Medium,52,0.75,5.20,,,,,,,,,,,,,,,,,
coach companies newcastle,GBP,50,-90%,0%,Low,17,0.85,4.47,,,,,,,,,,,,,,,,,
mini bus hire newcastle upon tyne,GBP,50,0%,0%,High,92,0.90,2.18,,,,,,,,,,,,,,,,,
luxury coach hire newcastle upon tyne,GBP,50,0%,0%,Medium,33,,,,,,,,,,,,,,,,,,,
16 seater minibus hire newcastle upon tyne,GBP,50,0%,0%,High,76,0.68,2.39,,,,,,,,,,,,,,,,,
bus companies newcastle upon tyne,GBP,50,0%,0%,Medium,48,,,,,,,,,,,,,,,,,,,
bus hire in newcastle,GBP,50,0%,0%,High,88,1.12,6.28,,,,,,,,,,,,,,,,,
coach companies newcastle upon tyne,GBP,50,-90%,0%,Low,17,0.85,4.47,,,,,,,,,,,,,,,,,
j&m travel coach hire newcastle,GBP,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
limousine party bus newcastle,GBP,50,-100%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,
luxury minibus hire newcastle,GBP,50,0%,0%,Medium,57,,,,,,,,,,,,,,,,,,,
minibus newcastle upon tyne,GBP,50,0%,0%,Low,31,1.17,2.53,,,,,,,,,,,,,,,,,
newcastle party bus hire prices,GBP,50,-100%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,
party bus hire newcastle nsw,GBP,50,0%,0%,Medium,50,0.28,0.79,,,,,,,,,,,,,,,,,
party bus newcastle nsw,GBP,50,0%,0%,Unknown,,,,,,,,,,,,,,,,,,,,
party bus newcastle prices,GBP,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
people carrier hire newcastle upon tyne,GBP,50,0%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,
pink party bus newcastle,GBP,50,∞,∞,Low,0,,,,,,,,,,,,,,,,,,,
private coach hire newcastle,GBP,50,0%,0%,High,93,,,,,,,,,,,,,,,,,,,
wedding coach hire newcastle,GBP,50,0%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,
minibus hire north east,GBP,50,0%,0%,Medium,50,0.76,2.07,,,,,,,,,,,,,,,,,
minibus hire north east england,GBP,50,0%,0%,Medium,50,0.76,2.07,,,,,,,,,,,,,,,,,
coach hire north east,GBP,50,0%,0%,Medium,50,1.29,3.60,,,,,,,,,,,,,,,,,
coach hire north east england,GBP,50,0%,0%,Medium,50,1.29,3.60,,,,,,,,,,,,,,,,,
coach hire sunderland,GBP,50,0%,0%,Medium,47,1.36,3.97,,,,,,,,,,,,,,,,,
coach hire durham,GBP,50,0%,0%,Medium,52,1.24,2.17,,,,,,,,,,,,,,,,,
coach hire middlesbrough,GBP,50,-90%,0%,High,71,0.87,2.14,,,,,,,,,,,,,,,,,
mini bus hire durham,GBP,50,0%,0%,High,86,0.55,1.18,,,,,,,,,,,,,,,,,
self drive minibus hire middlesbrough,GBP,50,0%,0%,High,90,0.29,0.77,,,,,,,,,,,,,,,,,
self drive minibus hire north east,GBP,50,0%,0%,High,76,0.27,0.62,,,,,,,,,,,,,,,,,
self drive minibus hire sunderland,GBP,50,0%,0%,High,87,0.22,0.87,,,,,,,,,,,,,,,,,
minibus middlesbrough,GBP,50,0%,0%,High,84,0.69,1.86,,,,,,,,,,,,,,,,,
mini bus hire north east,GBP,50,0%,0%,High,92,0.92,2.35,,,,,,,,,,,,,,,,,
coach companies north east,GBP,50,0%,0%,Low,30,0.80,1.98,,,,,,,,,,,,,,,,,
self drive minibus hire durham,GBP,50,0%,0%,High,81,0.32,0.76,,,,,,,,,,,,,,,,,
minibus sunderland,GBP,50,0%,0%,Medium,62,0.89,2.17,,,,,,,,,,,,,,,,,
coach companies middlesbrough,GBP,50,0%,0%,High,69,0.67,0.98,,,,,,,,,,,,,,,,,
16 seater minibus durham,GBP,50,0%,0%,Unknown,,,,,,,,,,,,,,,,,,,,
badger minibus hire sunderland,GBP,50,0%,0%,Low,27,0.54,1.05,,,,,,,,,,,,,,,,,
bus hire durham,GBP,50,0%,0%,High,86,,,,,,,,,,,,,,,,,,,
bus hire middlesbrough,GBP,50,0%,0%,High,100,,,,,,,,,,,,,,,,,,,
bus hire north east,GBP,50,0%,∞,High,86,,,,,,,,,,,,,,,,,,,
bus hire sunderland,GBP,50,0%,0%,High,89,1.30,3.20,,,,,,,,,,,,,,,,,
cheap coach hire north east,GBP,50,-100%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,
city mini buses sunderland,GBP,50,-100%,0%,Unknown,,,,,,,,,,,,,,,,,,,,
coach companies durham,GBP,50,0%,0%,High,71,,,,,,,,,,,,,,,,,,,
coach companies north east england,GBP,50,0%,0%,Low,30,0.80,1.98,,,,,,,,,,,,,,,,,
coach companies sunderland,GBP,50,0%,0%,Medium,50,,,,,,,,,,,,,,,,,,,
durham mini bus hire,GBP,50,0%,0%,High,100,,,,,,,,,,,,,,,,,,,
local minibus hire middlesbrough,GBP,50,0%,0%,Medium,33,,,,,,,,,,,,,,,,,,,
mini bus north east,GBP,50,0%,0%,High,100,0.63,2.67,,,,,,,,,,,,,,,,,
minibus hire in durham,GBP,50,0%,∞,Low,0,,,,,,,,,,,,,,,,,,,
minibus hire in middlesbrough,GBP,50,900%,900%,Low,9,0.90,1.44,,,,,,,,,,,,,,,,,
minibus hire middlesbrough middlesbrough,GBP,50,∞,0%,High,74,,,,,,,,,,,,,,,,,,,
minibus hire with driver middlesbrough,GBP,50,-100%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,
minibus hire with driver sunderland,GBP,50,0%,∞,High,100,,,,,,,,,,,,,,,,,,,
vintage bus hire durham,GBP,50,∞,∞,Low,14,,,,,,,,,,,,,,,,,,,
wedding bus hire middlesbrough,GBP,50,0%,0%,Unknown
minibus hire south shields,GBP,50,0%,0%,High,90,0.67,1.52,,,,,,,,,,,,,,,,,
minibus hire washington tyne and wear,GBP,50,0%,0%,High,82,0.71,1.64,,,,,,,,,,,,,,,,,
minibus hire stockton on tees,GBP,50,0%,0%,High,69,0.70,1.12,,,,,,,,,,,,,,,,,
minibus hire redcar,GBP,50,0%,0%,High,79,0.60,1.08,,,,,,,,,,,,,,,,,
minibus hire blyth,GBP,50,-100%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,
minibus hire cramlington,GBP,50,0%,0%,Medium,43,,,,,,,,,,,,,,,,,,,
minibus hire whitley bay,GBP,50,-100%,0%,Unknown,,,,,,,,,,,,,,,,,,,,
minibus hire stockton,GBP,50,0%,0%,High,69,0.70,1.12,,,,,,,,,,,,,,,,,
self drive minibus hire stockton on tees,GBP,50,-100%,0%,Unknown,,,,,,,,,,,,,,,,,,,,
mini bus hire redcar,GBP,50,0%,0%,High,73,0.64,1.10,,,,,,,,,,,,,,,,,
